k	pvalue
0	1.0
1	1.0
2	1.0
3	1.0
4	1.0
5	1.0
6	1.0
7	1.0
8	1.0
9	1.0
10	1.0
11	1.0
12	1.0
13	1.0
14	1.0
15	1.0
16	1.0
17	1.0
18	1.0
19	1.0
20	1.0
21	1.0
22	1.0
23	1.0
24	1.0
25	1.0
26	1.0
27	1.0
28	1.0
29	1.0
30	1.0
31	1.0
32	1.0
33	1.0
34	1.0
35	1.0
36	1.0
37	1.0
38	1.0
39	1.0
40	1.0
41	1.0
42	1.0
43	1.0
44	1.0
45	1.0
46	1.0
47	1.0
48	1.0
49	1.0
50	1.0
51	1.0
52	1.0
53	1.0
54	1.0
55	1.0
56	1.0
57	1.0
58	1.0
59	0.998
60	0.997
61	0.995
62	0.99
63	0.9740000000000001
64	0.9540000000000001
65	0.916
66	0.871
67	0.8240000000000001
68	0.741
69	0.651
70	0.5579999999999999
71	0.45699999999999996
72	0.346
73	0.24000000000000005
74	0.171
75	0.111
76	0.07199999999999998
77	0.041999999999999975
78	0.019999999999999993
79	0.009
80	0.003999999999999998
81	0.0010000000000000002
82	0.0010000000000000002
83	0.0010000000000000002
84	0.0
85	0.0
86	0.0
87	0.0
88	0.0
89	0.0
90	0.0
91	0.0
92	0.0
93	0.0
94	0.0
95	0.0
96	0.0
97	0.0
98	0.0
99	0.0
100	0.0
